# timestamp tx ty tz qx qy qz qw
1.678810394032011509e+09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.769188080940931496e-01 2.132985424378399664e-01 -0.000000000000000000e+00 1.154877421674964377e-02
1.678810394081799507e+09 -1.809935347409918904e-04 7.025941158644855022e-04 1.595588400959968567e-04 9.769350006266444009e-01 2.132528511273928951e-01 -6.296298487292390823e-05 1.101008956906372217e-02
1.678810394131404161e+09 -1.192457741126418114e-03 3.345225937664508820e-03 9.642513468861579895e-04 9.769181160104223327e-01 2.132959993985835412e-01 1.218794805176164227e-04 1.165317109625378308e-02
1.678810394181637526e+09 -1.582632772624492645e-03 5.386719014495611191e-03 2.110341563820838928e-03 9.769120820060460675e-01 2.132916322033209799e-01 1.598499124284201119e-04 1.222448815537034023e-02
1.678810394231717825e+09 -6.304340204223990440e-04 5.171694792807102203e-03 3.004063386470079422e-03 9.769184055838078251e-01 2.132813646132966368e-01 -3.698569367785492946e-05 1.189482964734449831e-02
1.678810394281338930e+09 6.075370947655756027e-06 4.432883579283952713e-03 4.178456962108612061e-03 9.769622934020366634e-01 2.131085022413373720e-01 6.812840488283474708e-05 1.137712185077121262e-02
1.678810394331555128e+09 4.740736912935972214e-04 5.406724289059638977e-03 5.769550800323486328e-03 9.769445842284653070e-01 2.131719648456359417e-01 -1.307163474360070714e-05 1.170438292497197157e-02
1.678810394381162643e+09 6.728238076902925968e-04 6.692816037684679031e-03 7.794157136231660843e-03 9.769259317370512230e-01 2.132263418932612009e-01 1.300055608301865578e-04 1.225700293980551935e-02
1.678810394432218552e+09 5.857040523551404476e-04 6.464317906647920609e-03 9.938006289303302765e-03 9.769152184555289775e-01 2.132660400890154795e-01 3.498116488157473870e-04 1.241489937723636722e-02
1.678810394480865479e+09 7.558683282695710659e-04 5.003377795219421387e-03 1.191313471645116806e-02 9.768708784914978960e-01 2.134726906751086839e-01 5.163419907475005552e-04 1.234627401798694957e-02
1.678810394532032251e+09 1.538759563118219376e-03 3.060081508010625839e-03 1.393856666982173920e-02 9.769069079242300724e-01 2.133357868574327354e-01 4.960972342629374216e-04 1.185281331050740475e-02
1.678810394581152916e+09 2.388389548286795616e-03 2.398799406364560127e-03 1.625339500606060028e-02 9.769431220239084279e-01 2.131877382586236103e-01 4.132838786231427409e-04 1.153055865025770683e-02
1.678810394631627083e+09 3.021484473720192909e-03 3.838985459879040718e-03 1.928948238492012024e-02 9.769577192358193107e-01 2.131184148707085391e-01 5.650992277989005160e-04 1.156878262417047366e-02
1.678810394680835962e+09 2.962278667837381363e-03 6.390957161784172058e-03 2.243917621672153473e-02 9.769105744375761180e-01 2.133051288438679860e-01 6.349139816681859463e-04 1.209332233846048196e-02
1.678810394731255293e+09 1.958043314516544342e-03 8.655962534248828888e-03 2.588802389800548553e-02 9.769220745533557793e-01 2.132365827263604241e-01 9.628176716854782140e-04 1.234880640721698966e-02
1.678810394781982660e+09 1.796055468730628490e-03 1.058734580874443054e-02 2.952816523611545563e-02 9.769264251473662730e-01 2.132156594865149135e-01 5.821465623403316008e-04 1.238965309836949184e-02
1.678810394832445860e+09 1.280497759580612183e-03 1.243013516068458557e-02 3.325850144028663635e-02 9.769276903586858740e-01 2.132182571301642071e-01 7.036135166510369080e-04 1.223795590930122114e-02
1.678810394881565571e+09 1.286040293052792549e-03 1.499536726623773575e-02 3.710687905550003052e-02 9.769062156556859167e-01 2.133310235058819004e-01 7.209100697385647030e-04 1.198334310160512235e-02
1.678810394932525396e+09 7.396452710963785648e-04 1.894585043191909790e-02 4.134846851229667664e-02 9.768845463750466251e-01 2.134204978118535989e-01 8.257445396409577882e-04 1.214875768608288456e-02
1.678810394981369019e+09 -2.335839963052421808e-04 2.338360436260700226e-02 4.574075341224670410e-02 9.768965962191684671e-01 2.133488253505663179e-01 7.882550325392136950e-04 1.243775184428266671e-02
1.678810395032388449e+09 -1.800358877517282963e-03 2.707593888044357300e-02 5.042474716901779175e-02 9.771350638219966633e-01 2.122834347842059710e-01 5.724021708761507527e-04 1.193661265002893268e-02
1.678810395081573009e+09 -4.503678530454635620e-03 3.148538246750831604e-02 5.524090304970741272e-02 9.774976575898020048e-01 2.106220041500699858e-01 6.997182800469346417e-04 1.167095405640204003e-02
1.678810395133359194e+09 -8.466337807476520538e-03 3.751211613416671753e-02 6.043339148163795471e-02 9.780502466687347463e-01 2.080321194280841668e-01 1.216658991465034440e-03 1.178439724318124798e-02
1.678810395181474686e+09 -1.142699271440505981e-02 4.376517608761787415e-02 6.567157804965972900e-02 9.787850641835109666e-01 2.045648624200372412e-01 7.247115470785786811e-04 1.151042951090119025e-02
1.678810395232378960e+09 -1.661221124231815338e-02 5.182963237166404724e-02 7.117430865764617920e-02 9.795056038523116682e-01 2.010702975392757441e-01 1.407871526853858926e-03 1.172712100854805123e-02
1.678810395281656265e+09 -2.187481150031089783e-02 6.130969896912574768e-02 7.716640830039978027e-02 9.802278713535795829e-01 1.974737938361721401e-01 1.346265094445627886e-03 1.247431520663845259e-02
1.678810395331717253e+09 -2.724813856184482574e-02 7.042049616575241089e-02 8.302778005599975586e-02 9.810067057323731410e-01 1.935536790802920293e-01 1.467100174656808809e-03 1.267533982493612710e-02
1.678810395381377459e+09 -3.139052540063858032e-02 7.832351326942443848e-02 8.907253295183181763e-02 9.817874019021944898e-01 1.895963916972448204e-01 1.202811902133158351e-03 1.205234272047935040e-02
1.678810395431577206e+09 -3.734848275780677795e-02 8.830827474594116211e-02 9.567160159349441528e-02 9.825598667415288423e-01 1.855347169721601741e-01 1.082959359764160178e-03 1.232088738502942933e-02
1.678810395480832100e+09 -4.495322331786155701e-02 9.925679117441177368e-02 1.022898703813552856e-01 9.833058417068778478e-01 1.814918871138320733e-01 1.820148606112602114e-03 1.292298866517329302e-02
1.678810395530906677e+09 -5.080332607030868530e-02 1.088941618800163269e-01 1.090941950678825378e-01 9.841454671949522170e-01 1.769230863063334380e-01 1.207800747477624261e-03 1.242828020384772851e-02
1.678810395580862284e+09 -5.725424736738204956e-02 1.190138831734657288e-01 1.159507408738136292e-01 9.848989402581668218e-01 1.726986241368999586e-01 1.597997195126869396e-03 1.211235338513168454e-02
1.678810395631596088e+09 -6.394346803426742554e-02 1.312265098094940186e-01 1.236680150032043457e-01 9.856497385583169457e-01 1.683461472723334906e-01 1.216402245288818011e-03 1.235669632469133319e-02
1.678810395681879997e+09 -7.100826501846313477e-02 1.420323252677917480e-01 1.310104280710220337e-01 9.864520220407934081e-01 1.636201754600015712e-01 1.021346226681445115e-03 1.182384226695328520e-02
1.678810395731589079e+09 -7.789911329746246338e-02 1.535560786724090576e-01 1.387073993682861328e-01 9.871398818194798697e-01 1.594341846197516455e-01 1.265098109468260719e-03 1.157557872555632118e-02
1.678810395781841278e+09 -8.388615399599075317e-02 1.672245413064956665e-01 1.467984169721603394e-01 9.878240972501982631e-01 1.551262666078781771e-01 9.078250903283109283e-04 1.177158246531400700e-02
1.678810395831789970e+09 -8.980195224285125732e-02 1.814135760068893433e-01 1.548932492733001709e-01 9.884880626446418406e-01 1.508295363420414648e-01 1.336308291685208566e-03 1.183280423388229606e-02
1.678810395881641388e+09 -9.461554884910583496e-02 1.955436021089553833e-01 1.630732715129852295e-01 9.891993409462653819e-01 1.461159201730802826e-01 1.276622450202123020e-03 1.154001640242117467e-02
1.678810395931778193e+09 -9.848734736442565918e-02 2.104087322950363159e-01 1.718035191297531128e-01 9.898544007456355764e-01 1.416335773332352277e-01 1.156925276778262039e-03 1.126306442284389676e-02
